"","Station","DT","Temperature","Salinity","Conductivity","Speed.of.sound","calibrated","flags_CondSal","flags_Temperature"
"1","EELD1",2018-08-11 16:00:00,5.69,23.6299428288945,23.86,1458.82,NA,NA,NA
"2","EELD1",2018-08-11 17:00:00,5.08,25.560968349776,25.21,1458.76,NA,NA,NA
"3","EELD1",2018-08-11 18:00:00,5.04,25.6696568632788,25.28,1458.76,NA,NA,NA
"4","EELD1",2018-08-11 19:00:00,4.97,25.8130117393937,25.36,1458.64,NA,NA,NA
"5","EELD1",2018-08-11 20:00:00,4.9,25.8337334728967,25.33,1458.36,NA,NA,NA
"6","EELD1",2018-08-11 21:00:00,4.86,25.8199685515061,25.29,1458.19,NA,NA,NA
"7","EELD1",2018-08-11 22:00:00,4.82,25.8061633010009,25.25,1458.02,NA,NA,NA
"8","EELD1",2018-08-11 23:00:00,4.82,25.851054083094,25.29,1458.07,NA,NA,NA
"9","EELD1",2018-08-12 00:00:00,4.79,25.8744067508948,25.29,1457.96,NA,NA,NA
"10","EELD1",2018-08-12 01:00:00,4.79,25.8744067508948,25.29,1457.96,NA,NA,NA
"11","EELD1",2018-08-12 02:00:00,4.75,25.9055951148733,25.29,1457.85,NA,NA,NA
"12","EELD1",2018-08-12 03:00:00,4.75,25.9505900461978,25.33,1457.9,NA,NA,NA
"13","EELD1",2018-08-12 04:00:00,4.75,25.9505900461978,25.33,1457.9,NA,NA,NA
"14","EELD1",2018-08-12 05:00:00,4.75,25.9505900461978,25.33,1457.9,NA,NA,NA
"15","EELD1",2018-08-12 06:00:00,4.75,25.9505900461978,25.33,1457.9,NA,NA,NA
"16","EELD1",2018-08-12 07:00:00,4.79,25.8744067508948,25.29,1457.96,NA,NA,NA
"17","EELD1",2018-08-12 08:00:00,4.82,25.851054083094,25.29,1458.07,NA,NA,NA
"18","EELD1",2018-08-12 09:00:00,4.86,25.775131862771,25.25,1458.13,NA,NA,NA
"19","EELD1",2018-08-12 10:00:00,4.9,25.6658112970837,25.18,1458.14,NA,NA,NA
"20","EELD1",2018-08-12 11:00:00,4.93,25.5979735714326,25.14,1458.2,NA,NA,NA
"21","EELD1",2018-08-12 12:00:00,5,25.4550277323529,25.06,1458.32,NA,NA,NA
"22","EELD1",2018-08-12 13:00:00,5.04,25.4690639013334,25.1,1458.49,NA,NA,NA
"23","EELD1",2018-08-12 14:00:00,5.11,25.4045920650592,25.09,1458.71,NA,NA,NA
"24","EELD1",2018-08-12 15:00:00,5.11,25.4935299300964,25.17,1458.82,NA,NA,NA
"25","EELD1",2018-08-12 16:00:00,5.11,25.4935299300964,25.17,1458.82,NA,NA,NA
"26","EELD1",2018-08-12 17:00:00,5.15,25.3741946150543,25.09,1458.83,NA,NA,NA
"27","EELD1",2018-08-12 18:00:00,5.15,25.3408923162236,25.06,1458.77,NA,NA,NA
"28","EELD1",2018-08-12 19:00:00,5.18,25.1518767654896,24.91,1458.68,NA,NA,NA
"29","EELD1",2018-08-12 20:00:00,5.18,25.1518767654896,24.91,1458.68,NA,NA,NA
"30","EELD1",2018-08-12 21:00:00,5.18,25.1851234626086,24.94,1458.73,NA,NA,NA
"31","EELD1",2018-08-12 22:00:00,5.18,25.1851234626086,24.94,1458.73,NA,NA,NA
"32","EELD1",2018-08-12 23:00:00,5.18,25.1851234626086,24.94,1458.73,NA,NA,NA
"33","EELD1",2018-08-13 00:00:00,5.18,25.1851234626086,24.94,1458.73,NA,NA,NA
